exp,fake,subject,length_fake,length_subject,part_1_sum_between_head,part_1a_sum_between_head,part_1b_sum_between_head,part_2_sum_between_head,part_2a_sum_between_head,part_2b_sum_between_head
32000,red,green,1.6474492984456,1.70297747921145,510199.966647995,257615.221076156,247592.205679662,929937.00913949,464732.564628051,445889.22153608
270817,green,red,1.64942350447241,1.59871019283369,680351.543262703,334040.179224784,345736.229945025,829785.346334724,423654.094932486,401487.515475357
27057,green,red,1.62414284421826,1.77671455889735,445468.769964046,225019.234986449,218685.188473318,771264.776268252,394722.123364088,366365.382550942
270194,red,green,1.50912668089164,1.55284607891555,694261.016230617,344964.691104079,343788.60403542,774024.433693857,379822.242928399,387226.513603896
2311,red,green,1.65411435400719,1.71143104194445,551662.454681985,280939.490730501,267528.351678796,787439.710590647,377601.555821113,376063.560841942
210520,red,green,1.70837695097641,1.67085024625396,585706.552531735,294837.192880963,297020.858590702,779469.720961489,385591.75005752,391208.71193005
201899,green,red,1.59443200246005,1.68205322718452,499709.157646458,240702.621903143,256229.736339167,781243.397749027,399497.444859047,404528.761777132
19082017,red,green,1.66231958108173,1.58802364573244,687054.590499775,356369.300673354,318098.279651883,876624.05599653,430402.558051448,440323.297098208
1809,red,green,1.70616716970017,1.59754227035383,552287.713309902,270710.536930945,270468.619092801,705938.139026012,357061.518988912,343436.491541833
1805,green,red,1.59095843806355,1.68858428029441,682209.339456382,326913.824536725,351650.879846315,952728.454494807,471592.820997543,475935.511704363
170516,green,red,1.57897774456815,1.40800635811215,700255.681779381,353917.063503511,336459.527882452,831090.645709847,408666.327311277,417665.055612085
1598,red,green,1.6442792097101,1.54038415425754,749668.904755899,364248.040648839,378278.185407353,838642.649150782,415876.627056748,410695.220517579
150717,red,green,1.4845398586224,1.6691227600044,673795.79644067,326795.454899847,336973.303769447,767100.213588724,379281.120801545,382988.165231522
1407,red,green,1.4961547520706,1.6617522757169,480173.345427993,237859.957103435,238889.909346094,644095.769590614,384525.919646033,257475.428987045
123SUNCE,green,red,1.64097163665831,1.59311388441564,561436.15744413,259641.465932656,293988.169100942,873975.989914697,440878.323654894,426998.945218284
123PATULJAK,green,red,1.63203514430166,1.64619129899583,701625.217829574,354876.792564289,341629.195385669,858642.966849359,429751.906458667,424620.308682203
1121998,red,green,1.58754036455115,1.56988328373291,668640.353869013,323697.895709415,337991.981432797,821454.557557863,410109.617959841,403515.963581823
0125,red,green,1.61744119482769,1.64655132621025,540753.826990195,258188.967055946,284712.87325931,840566.960178905,417232.178130871,412543.991162331
0101M,red,green,1.64018742906487,1.62070257586012,566691.502873372,282327.827604506,279985.759454603,918885.91135214,445709.504394401,467939.354556871
